,t,i,j,k,v,q,sources,targets
2552,2018,56,24,850650,39.858,0.008,Belgium,Angola
6061,2018,124,24,850650,0.885,0.01,Canada,Angola
9159,2018,156,24,850650,552.545,87.808,China,Angola
9960,2018,178,24,850650,0.948,0.02,Congo,Angola
10370,2018,180,24,850650,2.55,0.079,Democratic Republic of the Congo,Angola
11377,2018,208,24,850650,2.228,0.005,Denmark,Angola
14027,2018,251,24,850650,85.474,0.149,"France, Monaco",Angola
15812,2018,276,24,850650,12.935,0.025,Germany,Angola
16727,2018,300,24,850650,0.078,0.121,Greece,Angola
17461,2018,344,24,850650,0.594,0.032,"China, Hong Kong Special Administrative Region",Angola
19204,2018,376,24,850650,0.041,0.002,Israel,Angola
20730,2018,381,24,850650,2.06,0.009,Italy,Angola
21648,2018,392,24,850650,3.545,0.021,Japan,Angola
22220,2018,408,24,850650,0.695,0.027,Democratic People's Republic of Korea,Angola
22765,2018,410,24,850650,0.487,0.028,Republic of Korea,Angola
24352,2018,434,24,850650,0.321,0.001,Libya,Angola
25409,2018,480,24,850650,0.626,0.17,Mauritius,Angola
27685,2018,516,24,850650,24.873,0.021,Namibia,Angola
27954,2018,520,24,850650,1.396,0.004,Nauru,Angola
29297,2018,528,24,850650,21.415,0.153,Netherlands,Angola
30072,2018,566,24,850650,0.578,0.179,Nigeria,Angola
30787,2018,579,24,850650,48.935,0.311,"Norway, Svalbard and Jan Mayen",Angola
32124,2018,616,24,850650,1.128,0.011,Poland,Angola
35747,2018,620,24,850650,103.455,2.618,Portugal,Angola
36891,2018,643,24,850650,2.56,0.021,Russian Federation,Angola
40155,2018,702,24,850650,5.947,0.074,Singapore,Angola
41284,2018,704,24,850650,0.187,0.319,Viet Nam,Angola
44080,2018,710,24,850650,28.356,449.717,South Africa,Angola
46319,2018,724,24,850650,0.227,0.01,Spain,Angola
47900,2018,757,24,850650,1.275,0.005,"Switzerland, Liechtenstein",Angola
50350,2018,784,24,850650,1.845,31.908,United Arab Emirates,Angola
54093,2018,826,24,850650,217.873,0.262,United Kingdom,Angola
56184,2018,842,24,850650,68.154,0.063,"USA, Puerto Rico and US Virgin Islands",Angola
57991,2018,40,31,850650,0.394,0.006,Austria,Azerbaijan
59202,2018,56,31,850650,0.221,0.002,Belgium,Azerbaijan
