,t_x,i_x,j_x,k_x,v_x,q_x,sources,targets,t_y,q_y,q
2169,2020,156,528,850650,8866.79,23175.584,China,Netherlands,2019,64.306,23111.278
3447,2020,156,826,850650,28531.595,20346.774,China,United Kingdom,2019,693.611,19653.163
2632,2020,156,643,850650,11159.41,16645.003,China,Russian Federation,2019,214.636,16430.367
2835,2020,156,702,850650,25376.002,15791.358,China,Singapore,2019,153.098,15638.26
320,2020,156,76,850650,10068.396,12597.321,China,Brazil,2019,261.678,12335.643
2480,2020,156,616,850650,17883.623,11893.332,China,Poland,2019,221.236,11672.096
626,2020,702,156,850650,18027.614,11267.93,Singapore,China,2019,169.56,11098.37
480,2020,156,124,850650,12109.71,11263.299,China,Canada,2019,287.362,10975.937
1709,2020,784,410,850650,9349.391,10684.309,United Arab Emirates,Republic of Korea,2019,0.24,10684.069
1675,2020,156,410,850650,9887.054,10604.839,China,Republic of Korea,2019,81.856,10522.983
2008,2020,156,490,850650,9856.368,10554.131,China,"Other Asia, not elsewhere specified",2019,73.451,10480.68
4077,2020,156,484,850650,31205.136,9817.94,China,Mexico,2019,38.389,9779.551
1040,2020,156,251,850650,6109.999,7785.467,China,"France, Monaco",2019,210.066,7575.401
3296,2020,156,792,850650,7810.299,6634.752,China,Turkey,2019,133.294,6501.458
2383,2020,156,586,850650,1782.843,5846.178,China,Pakistan,2019,26.362,5819.816
816,2020,156,208,850650,4174.372,5905.521,China,Denmark,2019,86.707,5818.814
3084,2020,156,752,850650,7426.482,5499.669,China,Sweden,2019,58.87,5440.799
1555,2020,156,392,850650,4803.231,5022.498,China,Japan,2019,72.717,4949.781
1494,2020,156,381,850650,29680.985,4563.323,China,Italy,2019,193.235,4370.088
3027,2020,156,724,850650,3663.672,4473.644,China,Spain,2019,121.533,4352.111
75,2020,156,36,850650,11042.968,4318.503,China,Australia,2019,184.691,4133.812
3195,2020,156,764,850650,8007.379,3564.045,China,Thailand,2019,64.386,3499.659
2677,2020,156,682,850650,1371.889,3406.478,China,Saudi Arabia,2019,24.98,3381.498
2442,2020,156,608,850650,4862.174,3192.859,China,Philippines,2019,13.947,3178.912
3967,2020,156,50,850650,753.668,3154.09,China,Bangladesh,2019,13.329,3140.761
3244,2020,156,784,850650,4927.647,3183.214,China,United Arab Emirates,2019,285.085,2898.129
3408,2020,156,818,850650,1060.649,2885.442,China,Egypt,2019,9.964,2875.478
4023,2020,156,364,850650,339.227,2808.5,China,Iran,2019,10.047,2798.453
1457,2020,156,376,850650,1296.124,2366.404,China,Israel,2019,7.297,2359.107
3873,2020,156,704,850650,91657.989,2390.256,China,Viet Nam,2019,42.431,2347.825
4213,2020,156,120,850650,348.649,2186.18,China,Cameroon,2019,7.274,2178.906
994,2020,156,246,850650,1901.436,2173.087,China,Finland,2019,4.543,2168.544
2296,2020,156,566,850650,898.087,2108.863,China,Nigeria,2019,4.596,2104.267
2968,2020,156,710,850650,1595.024,1832.551,China,South Africa,2019,8.794,1823.757
118,2020,156,40,850650,7085.303,1855.713,China,Austria,2019,45.35,1810.363
4230,2020,156,262,850650,200.301,1448.99,China,Djibouti,2019,2.365,1446.625
3135,2020,156,757,850650,8121.17,1586.305,China,"Switzerland, Liechtenstein",2019,164.736,1421.569
2874,2020,826,702,850650,2106.627,1349.279,United Kingdom,Singapore,2019,4.915,1344.364
4033,2020,156,368,850650,294.788,1280.24,China,Iraq,2019,3.454,1276.786
774,2020,156,203,850650,3650.496,1319.67,China,Czechia,2019,72.047,1247.623
1302,2020,156,348,850650,1598.049,1233.755,China,Hungary,2019,20.35,1213.405
4293,2020,156,834,850650,204.387,1056.27,China,United Republic of Tanzania,2019,1.65,1054.62
3918,2020,156,12,850650,87.866,1014.07,China,Algeria,2019,2.258,1011.812
1385,2020,156,360,850650,4202.554,915.176,China,Indonesia,2019,13.269,901.907
606,2020,376,156,850650,4109.566,882.132,Israel,China,2019,30.222,851.91
1197,2020,156,300,850650,1110.077,828.367,China,Greece,2019,29.216,799.151
224,2020,616,56,850650,23816.397,1754.591,Poland,Belgium,2019,983.826,770.765
2711,2020,156,686,850650,182.928,772.199,China,Senegal,2019,2.828,769.371
2880,2020,156,703,850650,4026.354,758.095,China,Slovakia,2019,21.434,736.661
2332,2020,156,579,850650,14857.681,882.553,China,"Norway, Svalbard and Jan Mayen",2019,174.621,707.932
4050,2020,156,434,850650,139.983,679.058,China,Libya,2019,2.644,676.414
1917,2020,156,458,850650,46563.816,862.739,China,Malaysia,2019,201.1,661.639
2599,2020,300,642,850650,2898.591,984.116,Greece,Romania,2019,333.293,650.823
3341,2020,156,804,850650,3438.133,682.313,China,Ukraine,2019,48.721,633.592
