,sources,t_x,i_x,j_x,k_x,v_x,q_x,t_y,q_y,q
30,China,355344,27456,76410,149714400,559636.267,17628.062,335320.0,258819.084,-241204.719
144,United Arab Emirates,218052,84672,47934,91870200,7403.245,288.007,179780.0,11514.770999999999,-11232.181999999999
123,Singapore,264489,91962,54863,111435150,268121.276,4406.645,234320.0,15616.557999999999,-11215.710000000001
145,United Kingdom,296793,121422,61390,125045550,64351.775,1456.942,270680.0,2994.688,-1539.929
58,Greece,90855,13500,21051,38279250,4679.701,429.45300000000003,58580.0,1483.335,-1094.4089999999999
109,Poland,181710,55440,37854,76558500,45072.88,1481.408,167660.0,2312.821,-831.6559999999998
68,Israel,161520,30080,33784,68052000,90800.111,1019.164,137360.0,1730.839,-712.746
141,"USA, Puerto Rico and US Virgin Islands",327078,136404,68014,137805300,397843.547,4500.09,298960.0,5192.621,-698.0189999999999
94,Netherlands,290736,76032,62170,122493600,63708.263,1090.654,238360.0,1656.203,-566.011
31,"China, Hong Kong Special Administrative Region",240261,40936,50426,101227350,44187.941,881.766,199980.0,1102.931,-248.765
17,Belgium,244299,6776,51121,102928650,25301.955,460.902,214120.0,632.3,-174.146
69,Italy,232185,43815,49160,97824750,14417.689999999999,303.332,193920.0,422.127,-119.88000000000001
100,"Norway, Svalbard and Jan Mayen",171615,49215,35309,72305250,6166.486,91.636,137360.0,171.931,-81.874
115,Russian Federation,84798,27006,19569,35727300,6335.7,31.378,48480.0,106.354,-76.73499999999999
64,India,147387,51027,31503,62097450,2117.317,38.494,109080.0,80.365,-51.269999999999996
149,Viet Nam,109026,38016,23438,45935100,2437.456,48.538,78780.0,75.45,-47.80100000000001
43,Denmark,222090,22880,47848,93571500,10556.781,163.19299999999998,179780.0,206.67499999999998,-44.366
101,"Other Asia, not elsewhere specified",175653,42630,36944,74006550,29618.219,327.189,131300.0,366.3,-40.166000000000004
114,Romania,111045,35310,24361,46785750,21564.606,384.916,96960.0,423.163,-39.21100000000001
110,Portugal,94893,29140,20917,39980550,423.389,18.256,48480.0,54.482000000000006,-36.614
133,"Switzerland, Liechtenstein",232185,87055,48670,97824750,18187.97,221.345,202000.0,235.86100000000002,-14.632000000000007
21,Brazil,82779,3116,18309,34876650,275.952,6.437,64640.0,17.041999999999998,-10.801
74,Kenya,16152,3232,4014,6805200,14.415,7.361,6060.0,14.984,-9.937999999999999
88,Mexico,127197,30492,25924,53590950,24739.813000000002,345.894,103020.0,343.054,-8.97099999999999
93,Namibia,6057,1548,1300,2551950,81.195,0.29000000000000004,4040.0,8.221,-8.203
56,Germany,296793,40572,62597,125045550,170531.577,2506.891,268660.0,2512.997,-6.649999999999995
151,Zambia,10095,4470,2246,4253250,12.551,1.464,4040.0,6.056,-6.027
8,Armenia,6057,153,1023,2551950,0.479,0.011,4040.0,3.658,-3.6490000000000005
142,Uganda,4038,1600,1570,1701300,0.863,0.158,2020.0,3.15,-3.0
24,Bulgaria,84798,4200,18499,35727300,657.481,34.812,64640.0,37.555,-2.907000000000002
44,Dominican Republic,12114,1284,2575,5103900,57.961,2.3979999999999997,4040.0,4.514,-2.5210000000000004
122,Serbia,52494,17888,9522,22116900,535.29,1.526,38380.0,3.374,-2.3640000000000008
7,Argentina,18171,288,3422,7655850,63.619,0.43100000000000005,6060.0,1.861,-1.556
