,targets,t_x,i_x,j_x,k_x,v_x,q_x,t_y,q_y,q
132,Netherlands,139311,28776,36432,58694850,76895.7,1296.6970000000001,117160.0,24461.784,-23165.316
153,Republic of Korea,80760,18321,16400,34026000,34773.309,346.332,70700.0,21538.993000000002,-21192.718
205,United Kingdom,125178,27262,51212,52740300,131869.29700000002,1811.61,103020.0,21055.748000000003,-19268.836
173,Singapore,107007,22113,37206,45084450,189709.273,1468.9950000000001,90900.0,18107.523,-16640.365
156,Russian Federation,98931,20431,31507,41681850,33652.555,420.246,88880.0,16838.899999999998,-16418.704
40,China,94893,21925,7332,39980550,176539.785,1544.599,78780.0,14326.405,-12782.749000000002
26,Brazil,104988,24115,3952,44233800,23391.133,393.38100000000003,82820.0,12685.439,-12315.467
150,Poland,100950,23463,30800,42532500,78712.181,1329.186,92920.0,13240.9,-11911.725999999999
35,Canada,100950,23433,6200,42532500,71164.871,2008.666,80800.0,13110.518,-11103.917000000003
141,"Other Asia, not elsewhere specified",70665,16656,17150,29772750,27085.115,259.871,62620.0,10828.762999999999,-10568.961000000001
123,Mexico,80760,16550,19360,34026000,128841.95000000001,3021.934,58580.0,12472.783000000001,-9471.034000000001
70,"France, Monaco",115083,25747,14307,48487050,80977.808,1320.61,101000.0,8703.977,-7383.629999999999
197,Turkey,74703,17059,29304,31474050,15895.722,209.95400000000004,70700.0,6715.483,-6505.534000000001
55,Denmark,94893,20686,9776,39980550,28542.098,419.22299999999996,86860.0,6288.795999999999,-5875.224
142,Pakistan,50475,10828,14650,21266250,3450.256,45.818,38380.0,5852.639,-5807.331999999999
186,Sweden,94893,19676,35344,39980550,26718.821,293.488,80800.0,5910.910999999999,-5617.963
99,Japan,84798,19645,16464,35727300,60668.85600000001,1018.139,72720.0,5853.923,-4836.563
97,Italy,94893,21731,17907,39980550,67840.956,1103.182,86860.0,5663.318,-4560.439000000001
180,Spain,94893,20593,34028,39980550,24435.416,581.627,84840.0,5019.264,-4438.089
10,Australia,76722,18150,1368,32324700,38455.405,674.669,72720.0,4484.712,-3810.0479999999993
190,Thailand,78741,17382,29796,33175350,21816.626,266.644,70700.0,3741.843,-3476.6250000000005
168,Saudi Arabia,76722,18921,25916,32324700,9886.558,140.228,60600.0,3475.255,-3397.213
15,Bangladesh,30285,7168,750,12759750,1684.965,48.626,20200.0,3177.4460000000004,-3129.556
148,Philippines,58551,13553,17632,24668850,55118.615000000005,513.218,50500.0,3504.665,-2996.115
60,Egypt,64608,14691,26176,27220800,3067.7599999999998,34.115,50500.0,2919.214,-2885.248
204,United Arab Emirates,102969,22214,39984,43383150,44153.369999999995,611.76,80800.0,3415.8819999999996,-2804.366
93,Iran,20190,4998,3640,8506500,2056.252,55.053000000000004,14140.0,2828.504,-2782.161
96,Israel,62589,15114,11656,26370150,15686.417000000001,78.74,52520.0,2467.994,-2389.3889999999997
211,Viet Nam,54513,11634,19008,22967550,9736.29,154.34,50500.0,2540.3079999999995,-2385.9809999999998
69,Finland,88836,19337,10824,37428600,7954.094999999999,79.422,78780.0,2257.597,-2178.2529999999997
34,Cameroon,28266,6789,1680,11909100,929.822,13.979,20200.0,2191.5229999999997,-2177.5570000000002
137,Nigeria,76722,19194,21508,32324700,2463.969,106.05499999999999,56560.0,2185.7019999999998,-2097.846
11,Austria,104988,23392,2080,44233800,20669.117,398.373,88880.0,2183.732,-1785.406
178,South Africa,84798,19390,29820,35727300,5520.979,193.04999999999998,76760.0,1936.9709999999998,-1744.4679999999998
56,Djibouti,12114,3561,1572,5103900,236.717,2.773,10100.0,1452.303,-1449.683
187,"Switzerland, Liechtenstein",123159,25308,46177,51889650,63789.033,405.709,94940.0,1842.55,-1437.356
94,Iraq,28266,6460,5152,11909100,2478.394,33.543,24240.0,1305.628,-1272.1200000000001
52,Czechia,96912,21073,9744,40831200,42519.963,764.154,78780.0,2021.2420000000002,-1257.202
89,Hungary,82779,19177,14268,34876650,25288.164,260.268,76760.0,1412.076,-1151.8600000000004
116,Malaysia,78741,16707,17862,33175350,145300.256,1288.009,66660.0,2408.82,-1122.772
2,Algeria,48456,11983,288,20415600,2348.457,16.404,34340.0,1045.642,-1031.31
206,United Republic of Tanzania,26247,6284,10842,11058450,345.944,65.421,20200.0,1056.799,-992.2249999999999
201,"USA, Puerto Rico and US Virgin Islands",141330,30484,58940,59545500,345099.993,4251.45,117160.0,5233.206,-987.4069999999999
155,Romania,86817,19497,27606,36577950,38444.056000000004,1058.023,70700.0,2018.5829999999999,-961.649
92,Indonesia,70665,15953,12600,29772750,7677.618,128.617,52520.0,1046.816,-919.225
18,Belgium,100950,22816,2800,42532500,40273.861,1338.831,80800.0,2227.055,-891.04
79,Greece,68646,13545,10200,28922100,2252.383,91.132,62620.0,894.2819999999999,-803.163
169,Senegal,38361,9156,13034,16162350,430.67999999999995,23.509,24240.0,778.43,-755.125
139,"Norway, Svalbard and Jan Mayen",115083,25137,33003,48487050,31874.326,418.903,96960.0,1114.035,-695.784
111,Libya,30285,8101,6510,12759750,509.889,9.548,24240.0,680.7299999999999,-671.427
203,Ukraine,84798,19504,33768,35727300,4563.135,81.844,70700.0,743.622,-661.832
174,Slovakia,86817,20042,30229,36577950,10675.195,341.233,76760.0,974.12,-633.017
29,Bulgaria,66627,14926,3300,28071450,3014.662,80.418,60600.0,687.002,-606.5949999999999
4,Angola,64608,14366,768,27220800,1354.412,65.13799999999999,30300.0,660.574,-600.568
170,Serbia,92874,22222,31648,39129900,1693.384,28.25,78780.0,588.6210000000001,-561.83
91,India,76722,17330,26562,32324700,32512.752,408.247,62620.0,853.442,-445.55800000000005
64,Estonia,72684,17710,8388,30623400,2975.994,49.012,68680.0,454.432,-406.26200000000006
134,New Zealand,54513,11507,14958,22967550,4986.664000000001,21.772,52520.0,396.192,-374.61
44,Colombia,80760,17609,6800,34026000,4321.482,81.333,56560.0,390.65799999999996,-309.74699999999996
102,Kenya,64608,15153,12928,27220800,604.481,22.443,48480.0,244.274,-223.64200000000002
77,Ghana,60570,13729,8640,25519500,1100.1879999999999,47.979,30300.0,230.243,-186.62199999999999
212,Yemen,12114,2249,5322,5103900,217.404,2.2640000000000002,8080.0,185.96399999999997,-183.75099999999998
208,Uzbekistan,40380,9908,17200,17013000,1214.902,59.304,34340.0,239.458,-180.643
196,Tunisia,60570,14846,23640,25519500,3774.2599999999998,57.806,38380.0,219.362,-176.346
74,Gambia,18171,3739,2430,7655850,51.427,10.369,12120.0,174.819,-165.79099999999997
101,Kazakhstan,64608,14864,12736,27220800,1775.608,49.594,56560.0,203.249,-154.111
145,Papua New Guinea,16152,3540,4784,6805200,726.126,8.491,8080.0,161.39600000000002,-153.256
59,Ecuador,52494,11177,5668,22116900,813.553,14.546,44440.0,162.76399999999998,-148.29799999999997
61,El Salvador,40380,9212,4440,17013000,1389.525,49.337999999999994,36360.0,189.582,-140.255
151,Portugal,76722,15543,23560,32324700,5983.572,151.183,62620.0,282.978,-132.10000000000002
0,Afghanistan,20190,4823,40,8506500,264.553,25.021,8080.0,143.122,-118.46200000000002
112,Lithuania,68646,14867,14960,28922100,4988.977,97.094,58580.0,207.75199999999998,-114.07399999999998
144,Panama,48456,11198,14184,20415600,1249.266,17.926,36360.0,128.024,-111.788
7,Argentina,76722,15965,1216,32324700,6976.58,216.522,68680.0,327.541,-111.68699999999998
188,Syria,8076,2260,3040,3402600,74.209,1.608,6060.0,108.58,-106.97599999999998
17,Belarus,70665,15885,3920,29772750,5396.12,69.92,56560.0,166.446,-96.56899999999999
12,Azerbaijan,78741,19486,1209,33175350,1303.3110000000001,41.770999999999994,60600.0,117.223,-96.144
147,Peru,74703,16765,22348,31474050,1267.135,37.93,56560.0,129.825,-92.163
107,Latvia,66627,14620,14124,28071450,2600.061,61.058,54540.0,151.978,-91.014
115,Malawi,32304,6858,7264,13610400,157.02,39.080999999999996,22220.0,114.93200000000002,-80.98599999999999
127,Mozambique,32304,7404,8128,13610400,350.344,332.536,18180.0,406.941,-74.58100000000002
75,Georgia,54513,12239,7236,22967550,575.104,14.77,40400.0,87.705,-73.803
198,Turkmenistan,20190,5421,7950,8506500,73.523,0.347,16160.0,69.94399999999999,-69.615
76,Germany,121140,27221,16560,51039000,206385.351,3331.668,111100.0,3399.539,-68.49100000000004
193,Togo,14133,3213,5376,5954550,45.764,2.9930000000000003,10100.0,69.33,-67.777
114,Madagascar,32304,7247,7200,13610400,323.097,39.354,22220.0,83.161,-67.31899999999999
100,Jordan,44418,9944,8800,18714300,372.743,18.893,32320.0,84.921,-66.065
8,Armenia,36342,8485,918,15311700,239.447,3.321,30300.0,68.359,-65.079
207,Uruguay,52494,11914,22308,22116900,1699.3290000000002,24.087999999999997,46460.0,84.565,-60.489000000000004
58,Dominican Republic,42399,11238,4494,17863650,969.276,12.741999999999999,36360.0,72.05499999999999,-59.407999999999994
48,Croatia,70665,15146,6685,29772750,1912.95,40.175,64640.0,96.979,-56.891999999999996
195,Trinidad and Tobago,26247,5290,10140,11058450,4404.7480000000005,50.178000000000004,14140.0,61.010999999999996,-52.782
63,Eritrea,4038,1494,464,1701300,13.154,58.198,4040.0,107.60900000000001,-49.410999999999994
98,Jamaica,22209,5647,4268,9357150,181.562,8.293,12120.0,50.237,-42.117000000000004
126,Morocco,58551,13477,14616,24668850,2459.708,48.92,48480.0,87.208,-38.327999999999996
95,Ireland,76722,16297,14136,32324700,42632.657999999996,342.927,70700.0,380.954,-38.04599999999999
133,New Caledonia,14133,2093,3780,5954550,206.31900000000002,6.7379999999999995,14140.0,44.205999999999996,-37.467999999999996
53,Côte d'Ivoire,60570,14614,11520,25519500,337.025,67.40599999999999,26260.0,96.0,-31.868000000000006
33,Cambodia,16152,3924,928,6805200,460.313,16.696,12120.0,46.909,-30.273
47,Costa Rica,54513,11428,5076,22967550,1426.3319999999999,39.379999999999995,42420.0,66.813,-28.735
49,Cuba,20190,3637,1920,8506500,559.56,38.005,14140.0,64.247,-26.254999999999995
202,Uganda,30285,6825,12000,12759750,221.547,17.81,18180.0,43.311,-25.631
87,Haiti,8076,1976,1328,3402600,360.754,1.939,6060.0,27.326,-25.41
124,Mongolia,40380,9151,9920,17013000,172.123,5.369,28280.0,27.54,-23.45
1,Albania,36342,8093,144,15311700,273.117,10.843,24240.0,31.541999999999998,-22.006
51,Cyprus,58551,12572,5684,24668850,867.4970000000001,29.493,46460.0,50.834,-21.569
140,Oman,40380,8573,10240,17013000,2753.4610000000002,69.691,28280.0,85.745,-20.335
16,Barbados,36342,7832,936,15311700,346.664,7.286,24240.0,27.189999999999998,-19.951999999999998
177,Somalia,10095,2504,3530,4253250,236.74800000000002,3.165,2020.0,19.385,-19.220000000000002
161,Saint Lucia,16152,3628,5296,6805200,54.345,2.104,4040.0,20.093,-18.323
183,Sudan,18171,4295,6561,7655850,123.696,1.046,10100.0,18.786,-17.860000000000003
209,Vanuatu,12114,2804,3288,5103900,49.099,0.46499999999999997,4040.0,17.348,-17.334
172,Sierra Leone,10095,2276,3470,4253250,46.663,11.886000000000001,6060.0,18.394000000000002,-17.117
90,Iceland,64608,13686,11264,27220800,705.291,30.173,62620.0,46.239,-16.083000000000006
105,Kyrgyzstan,26247,5549,5421,11058450,123.411,4.372999999999999,24240.0,17.555000000000003,-13.184000000000003
88,Honduras,34323,7731,5780,14461050,425.919,16.296,8080.0,25.427,-12.785
62,Equatorial Guinea,22209,5316,2486,9357150,198.663,1.5939999999999999,8080.0,11.783999999999999,-11.44
68,Fiji,18171,4009,2178,7655850,30.594,1.172,10100.0,12.526,-11.381
154,Republic of Moldova,54513,12976,13446,22967550,311.43399999999997,4.515,42420.0,14.934000000000001,-10.438
181,Sri Lanka,42399,10099,3024,17863650,568.841,31.885,38380.0,42.302,-10.43
46,Congo,36342,7645,3204,15311700,346.613,4.216,28280.0,13.554,-10.149000000000001
110,Liberia,16152,3009,3440,6805200,186.044,1.825,8080.0,11.654,-9.853
106,Lao People's Dem. Rep.,8076,1484,1672,3402600,57.440000000000005,0.635,8080.0,8.803,-8.168000000000001
42,"China, Macao Special Administrative Region",8076,1822,1784,3402600,145.111,0.9019999999999999,6060.0,8.686,-7.785
66,Falkland Islands (Malvinas),2019,826,238,850650,39.548,6.62,2020.0,12.82,-6.2
125,Montenegro,64608,14908,15968,27220800,111.345,8.238999999999999,50500.0,12.843,-4.696
13,Bahamas,12114,3061,264,5103900,582.028,0.601,8080.0,4.668,-4.171
108,Lebanon,54513,13576,11394,22967550,608.635,34.638,42420.0,38.029,-3.7169999999999983
179,South Sudan,10095,2650,3640,4253250,7.499,12.315,6060.0,3.7239999999999998,-3.496
189,Tajikistan,12114,3131,4572,5103900,73.187,0.929,6060.0,3.97,-3.2809999999999997
65,Ethiopia,40380,9295,4620,17013000,523.525,11.731000000000002,30300.0,14.778,-3.2509999999999986
9,Aruba,8076,2046,2132,3402600,30.503999999999998,0.357,6060.0,3.546,-3.194
73,Gabon,34323,6956,4522,14461050,569.888,9.395,22220.0,10.447000000000001,-2.6430000000000007
192,Timor-Leste,6057,946,1878,2551950,2.851,0.077,4040.0,2.504,-2.429
6,Antigua and Barbuda,10095,2610,140,4253250,14.945,0.175,2020.0,2.284,-2.1559999999999997
20,Benin,26247,5936,2652,11058450,88.145,0.719,12120.0,2.463,-2.065
31,Burundi,14133,3273,756,5954550,160.163,9.105,8080.0,4.372,-1.6360000000000001
160,Saint Kitts and Nevis,2019,842,659,850650,21.772,0.235,2020.0,1.836,-1.601
86,Guyana,28266,6592,4592,11909100,1054.461,41.836,18180.0,42.373,-1.1889999999999996
119,Malta,58551,12384,13630,24668850,366.717,8.266,48480.0,9.162,-0.9709999999999999
