Country/Territory,country,WGI
Aruba,ABW,1.1888318161169689
Andorra,ADO,1.4130094051361084
Afghanistan,AFG,-1.5828160047531128
Angola,AGO,-0.8924340804417928
Anguilla,AIA,0.8175670176744461
Albania,ALB,0.009153685222069422
Netherlands Antilles (former),ANT,
United Arab Emirates,ARE,0.6538218458493551
Argentina,ARG,0.0013377505044142406
Armenia,ARM,-0.12358640910436709
American Samoa,ASM,0.9354658961296082
Antigua and Barbuda,ATG,0.42455696787995595
Australia,AUS,1.57539035876592
Austria,AUT,1.4578027029832203
Azerbaijan,AZE,-0.6705975929896036
Burundi,BDI,-1.4274020095666249
Belgium,BEL,1.1875867893298466
Benin,BEN,-0.30484147121508914
Burkina Faso,BFA,-0.4335140573481719
Bangladesh,BGD,-0.8065667549769083
Bulgaria,BGR,0.24481072338918844
Bahrain,BHR,-0.23079091558853784
"Bahamas, The",BHS,0.6022249547143778
Bosnia and Herzegovina,BIH,-0.37728656580050784
Belarus,BLR,-0.4954385533928871
Belize,BLZ,-0.29061639883245033
Bermuda,BMU,1.097039806842804
Bolivia,BOL,-0.5529673813531796
Brazil,BRA,-0.23559458553791046
Barbados,BRB,0.8036892463763555
Brunei Darussalam,BRN,0.6281029184659322
Bhutan,BTN,0.5631158209095398
South Sudan,SSD,-2.0983211596806846
Botswana,BWA,0.5760467499494553
Central African Republic,CAF,-1.5618978142738342
Canada,CAN,1.5864246686299641
Switzerland,CHE,1.7892697652180989
Chile,CHL,1.0083148380120595
China,CHN,-0.32000598063071567
Côte d'Ivoire,CIV,-0.4950754940509796
Cameroon,CMR,-1.0562488635381062
"Congo, Rep.",COG,-1.0877974579731624
Cook Islands,COK,
Colombia,COL,-0.17645691335201263
Comoros,COM,-0.9105393042167028
Cape Verde,CPV,0.5239448820551237
Costa Rica,CRI,0.5863069097201029
Cuba,CUB,-0.4619750827550888
Cayman Islands,CYM,0.848141019543012
Cyprus,CYP,0.7874409208695093
Czech Republic,CZE,0.9535636504491171
Germany,DEU,1.4969908495744069
Djibouti,DJI,-0.7862039878964424
Dominica,DMA,0.4890946224331856
Denmark,DNK,1.675704260667165
Dominican Republic,DOM,-0.23807927034795284
Algeria,DZA,-0.820021907488505
Ecuador,ECU,-0.3985498771071434
"Egypt, Arab Rep.",EGY,-0.8179769565661749
Eritrea,ERI,-1.6025832891464233
Spain,ESP,0.8157187799612681
Estonia,EST,1.2164597014586132
Ethiopia,ETH,-0.818513368566831
Finland,FIN,1.7594082454840343
Fiji,FJI,0.23110897342363992
France,FRA,1.1019604001194239
"Micronesia, Fed. Sts.",FSM,0.34169763047248125
Gabon,GAB,-0.7469513788819313
United Kingdom,GBR,1.3352679119755824
Georgia,GEO,0.43193335582812625
Ghana,GHA,0.03597071828941504
Guinea,GIN,-0.9382741153240204
"Gambia, The",GMB,-0.4014851140479247
Guinea-Bissau,GNB,-1.1335474650065105
Equatorial Guinea,GNQ,-1.293393204609553
Greece,GRC,0.3117448364694913
Grenada,GRD,0.26308344056208927
Greenland,GRL,1.393923044204712
Guatemala,GTM,-0.5998582219084104
French Guiana,GUF,1.1166697243849437
Guam,GUM,0.7179271101951599
Guyana,GUY,-0.2243157501022021
"Hong Kong SAR, China",HKG,1.472861294945081
Honduras,HND,-0.6241676310698191
Croatia,HRV,0.46074987202882767
Haiti,HTI,-1.1450043817361195
Hungary,HUN,0.45744687877595425
Indonesia,IDN,-0.14725094785292944
India,IND,-0.11659590744723876
Ireland,IRL,1.4011130730311077
"Iran, Islamic Rep.",IRN,-1.0190354933341343
Iraq,IRQ,-1.5239201684792836
Iceland,ISL,1.545003354549408
Israel,ISR,0.664052685101827
Italy,ITA,0.5032312025626501
Jamaica,JAM,0.22359674175580344
Jordan,JOR,-0.09782444716741641
Japan,JPN,1.3417395949363708
Kazakhstan,KAZ,-0.3312050054470698
Kenya,KEN,-0.5714261208971342
Kyrgyz Republic,KGZ,-0.6305918842554092
Cambodia,KHM,-0.7693881231049696
Kiribati,KIR,0.32665980358918506
St. Kitts and Nevis,KNA,0.610657254854838
"Korea, Rep.",KOR,0.9206196566422781
Kuwait,KWT,-0.10339436369637649
Lao PDR,LAO,-0.7660741060972214
Lebanon,LBN,-0.844476525982221
Liberia,LBR,-0.7379444527129332
Libya,LBY,-1.9041315118471782
St. Lucia,LCA,0.585213802754879
Liechtenstein,LIE,1.6261008381843567
Sri Lanka,LKA,-0.14100129079694548
Lesotho,LSO,-0.323887908210357
Lithuania,LTU,0.8835648049910864
Luxembourg,LUX,1.7283640106519063
Latvia,LVA,0.7833223740259806
Kosovo,KSV,-0.40466364721457165
"Macao SAR, China",MAC,0.9586312541117271
Morocco,MAR,-0.30774039775133133
Monaco,MCO,1.1375925242900848
Moldova,MDA,-0.3541262522339821
Madagascar,MDG,-0.7626641641060511
Maldives,MDV,-0.4948331415653229
Mexico,MEX,-0.3422904946686079
Marshall Islands,MHL,-0.13595574038724104
North Macedonia,MKD,-0.04002383956685662
Mali,MLI,-0.9071067372957865
Malta,MLT,1.0588587323824565
Myanmar,MMR,-0.9296842416127523
Mongolia,MNG,0.0340301189571619
Montenegro,MNE,0.12392378970980644
Mozambique,MOZ,-0.7884091734886169
Mauritania,MRT,-0.7507095436255137
Martinique,MTQ,1.0800763964653015
Mauritius,MUS,0.7633235057195028
Malawi,MWI,-0.501928956558307
Malaysia,MYS,0.48123324662446976
Namibia,NAM,0.29981279373168945
Niger,NER,-0.7502630452315012
Nigeria,NGA,-1.041867936650912
Nicaragua,NIC,-0.9475628534952799
Niue,NIU,
Netherlands,NLD,1.6922518809636433
Norway,NOR,1.7691622575124104
Nepal,NPL,-0.5863108336925507
Nauru,NRU,0.008923248698314032
New Zealand,NZL,1.8154520789782207
Oman,OMN,0.11661972105503082
Pakistan,PAK,-0.9652043879032135
Panama,PAN,0.08944925262282293
Palau,PLW,0.28097165112073225
Peru,PER,-0.14020986358324686
Philippines,PHL,-0.34541407165428
Papua New Guinea,PNG,-0.5840950893859068
Poland,POL,0.6402381310860316
Puerto Rico,PRI,0.36562608803311986
"Korea, Dem. Rep.",PRK,-1.6125602374474208
Portugal,PRT,1.0710456669330597
Paraguay,PRY,-0.32848107380171615
Qatar,QAT,0.36112990975379944
Réunion,REU,0.8643137097358704
